date,day_month,moon,zodiac_astrology,p1,front3,back3,back2
16 พฤศจิกายน 2562,วันเสาร์ เดือนพฤศจิกายน,แรม 5 ค่ำ เดือน 12,ปีกุน / ราศีพิจิก,017223,"101, 234","501, 312",25
1 พฤศจิกายน 2562,วันศุกร์ เดือนพฤศจิกายน,แรม 4 ค่ำ เดือน 11,ปีกุน / ราศีพิจิก,967343,"201, 489","123, 890",91
16 ตุลาคม 2562,วันพุธ เดือนตุลาคม,แรม 3 ค่ำ เดือน 11,ปีกุน / ราศีตุลย์,812564,"301, 412","512, 890",15
1 ตุลาคม 2562,วันอังคาร เดือนตุลาคม,แรม 3 ค่ำ เดือน 10,ปีกุน / ราศีกันย์,691197,"123, 490","310, 501",59
16 กันยายน 2562,วันจันทร์ เดือนกันยายน,แรม 2 ค่ำ เดือน 10,ปีกุน / ราศีกันย์,340388,"101, 234","501, 312",85
1 กันยายน 2562,วันอาทิตย์ เดือนกันยายน,แรม 2 ค่ำ เดือน 9,ปีกุน / ราศีสิงห์,798787,"201, 489","123, 890",20
16 สิงหาคม 2562,วันศุกร์ เดือนสิงหาคม,แรม 1 ค่ำ เดือน 9,ปีกุน / ราศีสิงห์,775476,"301, 412","512, 890",06
1 สิงหาคม 2562,วันพฤหัสบดี เดือนสิงหาคม,แรม 15 ค่ำ เดือน 8,ปีกุน / ราศีกรกฎ,387006,"123, 490","310, 501",58
16 กรกฎาคม 2562,วันอังคาร เดือนกรกฎาคม,แรม 14 ค่ำ เดือน 8,ปีกุน / ราศีเมถุน,361557,"101, 234","501, 312",58
1 กรกฎาคม 2562,วันจันทร์ เดือนกรกฎาคม,แรม 14 ค่ำ เดือน 7,ปีกุน / ราศีเมถุน,943598,"201, 489","123, 890",20
16 มิถุนายน 2562,วันอาทิตย์ เดือนมิถุนายน,แรม 13 ค่ำ เดือน 7,ปีกุน / ราศีเมถุน,174396,"301, 412","512, 890",49
1 มิถุนายน 2562,วันเสาร์ เดือนมิถุนายน,แรม 13 ค่ำ เดือน 6,ปีกุน / ราศีพฤษภ,516461,"123, 490","310, 501",46
16 พฤษภาคม 2562,วันพฤหัสบดี เดือนพฤษภาคม,แรม 12 ค่ำ เดือน 6,ปีกุน / ราศีพฤษภ,962526,"101, 234","501, 312",71
2 พฤษภาคม 2562,วันพฤหัสบดี เดือนพฤษภาคม,แรม 13 ค่ำ เดือน 5,ปีกุน / ราศีเมษ,061324,"201, 489","123, 890",56
16 เมษายน 2562,วันอังคาร เดือนเมษายน,แรม 12 ค่ำ เดือน 5,ปีกุน / ราศีเมษ,570331,"301, 412","512, 890",23
1 เมษายน 2562,วันจันทร์ เดือนเมษายน,แรม 12 ค่ำ เดือน 4,ปีกุน / ราศีมีน,133608,"123, 490","310, 501",44
16 มีนาคม 2562,วันเสาร์ เดือนมีนาคม,แรม 11 ค่ำ เดือน 4,ปีกุน / ราศีมีน,346653,"101, 234","501, 312",10
1 มีนาคม 2562,วันศุกร์ เดือนมีนาคม,แรม 10 ค่ำ เดือน 3,ปีกุน / ราศีกุมภ์,346834,"201, 489","123, 890",25
16 กุมภาพันธ์ 2562,วันเสาร์ เดือนกุมภาพันธ์,แรม 12 ค่ำ เดือน 3,ปีกุน / ราศีกุมภ์,074824,"301, 412","512, 890",56
1 กุมภาพันธ์ 2562,วันศุกร์ เดือนกุมภาพันธ์,แรม 12 ค่ำ เดือน 2,ปีกุน / ราศีมังกร,967134,"123, 490","310, 501",98
17 มกราคม 2562,วันพฤหัสบดี เดือนมกราคม,แรม 11 ค่ำ เดือน 2,ปีกุน / ราศีมังกร,197079,"101, 234","501, 312",65
30 ธันวาคม 2561,วันอาทิตย์ เดือนธันวาคม,แรม 9 ค่ำ เดือน 1,ปีจอ / ราศีธนู,735867,"201, 489","123, 890",02
16 ธันวาคม 2561,วันอาทิตย์ เดือนธันวาคม,แรม 9 ค่ำ เดือน 12,ปีจอ / ราศีธนู,356564,"301, 412","512, 890",62
1 ธันวาคม 2561,วันเสาร์ เดือนธันวาคม,แรม 9 ค่ำ เดือน 12,ปีจอ / ราศีพิจิก,040
